,0,1
502,1.067e-05,4.77e-06
503,1.63e-05,5.9e-06
504,9e-06,5.8e-06
505,2.48e-05,1.03e-05
506,2.38e-05,1.156e-05
507,4.76e-05,1.54e-05
508,2.03e-05,8.17e-06
509,3.72e-05,9.06e-06
510,3.916e-05,1.323e-05
511,2.43e-05,7.15e-06
512,2.974e-05,1.025e-05
513,1.115e-05,4.9e-06
514,3.32e-05,7.7e-06
515,9.54e-06,4.6e-06
516,2.12e-05,7.3e-06
517,1.884e-05,6.26e-06
518,4.715e-05,1.68e-05
519,1.15e-05,4.65e-06
520,2.444e-05,7.1e-06
521,4.94e-05,1.293e-05
522,2.193e-05,7.8e-06
523,5.484e-05,1.454e-05
524,1.824e-05,8.46e-06
525,1.62e-05,5.1e-06
526,9.66e-06,5.25e-06
527,1.03e-05,5e-06
528,1.734e-05,5.5e-06
529,1.603e-05,7.15e-06
530,8.08e-05,1.92e-05
531,3.43e-05,1.06e-05
532,1.44e-05,6.1e-06
533,2.07e-05,8.2e-06
534,2.086e-05,6.9e-06
535,1.22e-05,5.25e-06
536,3.356e-05,9.9e-06
537,2.83e-05,1.15e-05
538,3.65e-05,1.16e-05
539,2.646e-05,1.293e-05
540,2.34e-05,8.46e-06
541,1.33e-05,8.05e-06
542,8.6e-06,4.95e-06
543,1.8e-05,6.3e-06
544,3.666e-05,9.4e-06
545,1.15e-05,4.4e-06
546,8.2e-06,5.4e-06
547,3.26e-05,9.4e-06
548,1.76e-05,6.26e-06
549,1.335e-05,4.6e-06
550,1.75e-05,7.8e-06
551,4.13e-05,1.32e-05
552,9.66e-06,4.53e-06
553,1.633e-05,5.9e-06
554,2.9e-05,1.043e-05
555,3.356e-05,1.04e-05
556,1.216e-05,5.66e-06
557,2.49e-05,7.3e-06
558,1.67e-05,5e-06
559,1.78e-05,7.7e-06
560,2.396e-05,1.174e-05
561,8.05e-05,1.8e-05
562,1.806e-05,1.305e-05
563,2.59e-05,1.04e-05
564,0.00011003,2.587e-05
565,3.535e-05,1.293e-05
566,1.05e-05,4.8e-06
567,1.96e-05,8.5e-06
568,1.556e-05,5.4e-06
569,1.067e-05,5.1e-06
570,1.99e-05,7.7e-06
571,4.21e-05,1.097e-05
572,1.41e-05,6.26e-06
573,2.706e-05,7.33e-06
574,1.18e-05,5.36e-06
575,4.405e-05,1.246e-05
576,5.513e-05,1.657e-05
577,2.056e-05,7.57e-06
578,2.73e-05,1.04e-05
